,Mes,Cape-Spearman,Cape-Kendall,Cape-Spearman_1,Cape-Kendall_1
0,1,0.1675352884324744,0.13787119919902505,0.13137419326661326,0.10286827986977871
1,2,0.17058702729178898,0.1392796311080477,0.003304310711910924,0.002818101229685902
2,3,0.19681423493457986,0.160540537358343,-0.10950366786075781,-0.07887954169947602
3,4,0.13364986284282226,0.11024676348009678,0.03954440368063803,0.030679087436162593
4,5,0.035432665675553844,0.029940426915589378,0.4328826960462187,0.35456366750648116
5,6,0.07129914183060417,0.06265177262201153,0.4666390600848179,0.3784412100120255
6,7,0.0942273457438702,0.0867965253828044,,
7,8,0.06732805416179007,0.058994895805753955,0.3738359490922345,0.30725493389951347
8,9,0.07583154948050329,0.06486030002769516,0.12120690040738907,0.09610266780300343
9,10,0.13833698541870815,0.11505357963944866,-0.02377990381100995,-0.019549290163399576
10,11,0.18490572558371154,0.1527981198872526,0.1997142892768252,0.1552276309528902
11,12,0.16306620374828978,0.1337493902880825,0.14311261063238903,0.11334832494305391
